taxlevel	rankID	taxon	daughterlevels	total	AB1382_L5	AB1383_L5	AB2284_L1	AB2285_L1	AB2286_L1	AB2287_L1	AB2288_L1	AB2289_L1	AB2290_L1	AB2291_L1	AB2292_L1	AB2293_L1	AB2294_L1	AB2295_L1	AB2296_L1	AB2297_L1	AB2298_L1	AB2299_L1	AB2300_L1	AB2301_L1	AB2302_L1	AB2303_L1
7	0.1.5.5.1.1.4.2	Pedobacter_species_CH30_5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
7	0.1.5.5.1.1.4.3	Pedobacter_species_JC2492	0	40	0	0	2	16	0	0	0	1	0	0	5	1	5	4	0	2	0	4	0	0	0	0
7	0.1.5.5.1.1.4.4	Pedobacter_species_N1d_b8	0	25	0	0	0	3	0	0	0	2	1	0	0	7	1	1	0	0	3	3	0	0	4	0
2	0.1.6	Chlamydiae	1	42	0	0	0	0	0	3	0	0	0	0	7	11	7	0	3	1	7	0	3	0	0	0
3	0.1.6.1	Chlamydiia	1	42	0	0	0	0	0	3	0	0	0	0	7	11	7	0	3	1	7	0	3	0	0	0
4	0.1.6.1.1	Chlamydiales	3	42	0	0	0	0	0	3	0	0	0	0	7	11	7	0	3	1	7	0	3	0	0	0
5	0.1.6.1.1.1	Chlamydiaceae	1	8	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0
6	0.1.6.1.1.1.1	Chlamydia	3	8	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	2	0	0	0	0	0
7	0.1.6.1.1.1.1.1	Chlamydia_muridarum	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
7	0.1.6.1.1.1.1.2	Chlamydia_pneumoniae	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0
7	0.1.6.1.1.1.1.3	Chlamydia_trachomatis	0	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
5	0.1.6.1.1.2	Parachlamydiaceae	2	29	0	0	0	0	0	3	0	0	0	0	4	6	4	0	3	1	5	0	3	0	0	0
6	0.1.6.1.1.2.1	Neochlamydia	1	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0
7	0.1.6.1.1.2.1.1	Neochlamydia_endosymbiont_of_Acanthamoeba_species	0	9	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	3	0	0	0
6	0.1.6.1.1.2.2	Parachlamydia	1	20	0	0	0	0	0	3	0	0	0	0	4	0	4	0	3	1	5	0	0	0	0	0
7	0.1.6.1.1.2.2.1	Parachlamydia_acanthamoebae	0	20	0	0	0	0	0	3	0	0	0	0	4	0	4	0	3	1	5	0	0	0	0	0
5	0.1.6.1.1.3	Waddliaceae	1	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
6	0.1.6.1.1.3.1	Waddlia	1	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
7	0.1.6.1.1.3.1.1	Waddlia_chondrophila	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
2	0.1.7	Chlorobi	1	336	0	0	44	41	0	0	0	0	38	25	12	7	0	0	60	47	0	0	3	0	29	30
3	0.1.7.1	Chlorobia	1	336	0	0	44	41	0	0	0	0	38	25	12	7	0	0	60	47	0	0	3	0	29	30
4	0.1.7.1.1	Chlorobiales	1	336	0	0	44	41	0	0	0	0	38	25	12	7	0	0	60	47	0	0	3	0	29	30
5	0.1.7.1.1.1	Chlorobiaceae	3	336	0	0	44	41	0	0	0	0	38	25	12	7	0	0	60	47	0	0	3	0	29	30
6	0.1.7.1.1.1.1	Chlorobaculum	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
7	0.1.7.1.1.1.1.1	Chlorobaculum_limnaeum	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
6	0.1.7.1.1.1.2	Chlorobium	1	314	0	0	44	41	0	0	0	0	38	25	0	0	0	0	60	47	0	0	0	0	29	30
7	0.1.7.1.1.1.2.1	Chlorobium_limicola	0	314	0	0	44	41	0	0	0	0	38	25	0	0	0	0	60	47	0	0	0	0	29	30
6	0.1.7.1.1.1.3	Prosthecochloris	1	19	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0
7	0.1.7.1.1.1.3.1	Prosthecochloris_species_5H2	0	19	0	0	0	0	0	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0
2	0.1.8	Chloroflexi	7	1311	6	0	60	139	0	108	28	40	23	27	50	53	60	34	50	43	148	319	27	45	32	19
3	0.1.8.1	Anaerolineae	1	85	2	0	8	1	0	0	4	0	5	5	8	3	0	2	3	4	16	8	0	6	6	4
4	0.1.8.1.1	Anaerolineales	1	85	2	0	8	1	0	0	4	0	5	5	8	3	0	2	3	4	16	8	0	6	6	4
5	0.1.8.1.1.1	Anaerolineaceae	5	85	2	0	8	1	0	0	4	0	5	5	8	3	0	2	3	4	16	8	0	6	6	4
6	0.1.8.1.1.1.1	Anaerolinea	2	48	2	0	6	0	0	0	4	0	0	2	3	0	0	1	0	0	16	6	0	3	1	4
7	0.1.8.1.1.1.1.1	Anaerolinea_thermolimosa	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.8.1.1.1.1.2	Anaerolinea_thermophila	0	46	2	0	6	0	0	0	2	0	0	2	3	0	0	1	0	0	16	6	0	3	1	4
6	0.1.8.1.1.1.2	Bellilinea	1	24	0	0	0	0	0	0	0	0	3	3	3	3	0	0	3	1	0	0	0	3	5	0
7	0.1.8.1.1.1.2.1	Bellilinea_caldifistulae	0	24	0	0	0	0	0	0	0	0	3	3	3	3	0	0	3	1	0	0	0	3	5	0
6	0.1.8.1.1.1.3	Leptolinea	1	4	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
7	0.1.8.1.1.1.3.1	Leptolinea_tardivitalis	0	4	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
6	0.1.8.1.1.1.4	Pelolinea	1	7	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0
7	0.1.8.1.1.1.4.1	Pelolinea_submarina	0	7	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	3	0	0	0	0	0	0
6	0.1.8.1.1.1.5	Thermomarinilinea	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	0.1.8.1.1.1.5.1	Thermomarinilinea_lacunifontana	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
3	0.1.8.2	Ardenticatenia	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
4	0.1.8.2.1	Ardenticatenales	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
5	0.1.8.2.1.1	Ardenticatenaceae	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
6	0.1.8.2.1.1.1	Ardenticatena	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
7	0.1.8.2.1.1.1.1	Ardenticatena_maritima	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
3	0.1.8.3	Chloroflexia	3	556	0	0	23	45	0	21	12	19	11	16	20	32	22	9	10	9	94	155	9	19	20	10
4	0.1.8.3.1	Chloroflexales	3	109	0	0	7	10	0	2	6	7	5	2	3	19	1	6	1	7	9	9	5	5	1	4
5	0.1.8.3.1.1	Chloroflexaceae	1	59	0	0	7	4	0	0	4	3	0	2	3	15	1	6	0	6	3	1	0	3	1	0
6	0.1.8.3.1.1.1	Chloroflexus	2	59	0	0	7	4	0	0	4	3	0	2	3	15	1	6	0	6	3	1	0	3	1	0
7	0.1.8.3.1.1.1.1	Chloroflexus_aggregans	0	48	0	0	7	4	0	0	4	3	0	2	3	7	1	6	0	6	0	1	0	3	1	0
7	0.1.8.3.1.1.1.2	Chloroflexus_aurantiacus	0	11	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	3	0	0	0	0	0
5	0.1.8.3.1.2	Oscillochloridaceae	2	22	0	0	0	0	0	0	2	4	5	0	0	0	0	0	1	1	0	0	3	2	0	4
6	0.1.8.3.1.2.1	Candidatus_Chloroploca	1	18	0	0	0	0	0	0	2	4	5	0	0	0	0	0	1	1	0	0	3	2	0	0
7	0.1.8.3.1.2.1.1	Candidatus_Chloroploca_asiatica	0	18	0	0	0	0	0	0	2	4	5	0	0	0	0	0	1	1	0	0	3	2	0	0
6	0.1.8.3.1.2.2	Oscillochloris	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
7	0.1.8.3.1.2.2.1	Oscillochloris_trichoides	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
5	0.1.8.3.1.3	Roseiflexaceae	1	28	0	0	0	6	0	2	0	0	0	0	0	4	0	0	0	0	6	8	2	0	0	0
6	0.1.8.3.1.3.1	Roseiflexus	1	28	0	0	0	6	0	2	0	0	0	0	0	4	0	0	0	0	6	8	2	0	0	0
7	0.1.8.3.1.3.1.1	Roseiflexus_species_RS_1	0	28	0	0	0	6	0	2	0	0	0	0	0	4	0	0	0	0	6	8	2	0	0	0
4	0.1.8.3.2	Herpetosiphonales	1	10	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	3	0	0	1	0
5	0.1.8.3.2.1	Herpetosiphonaceae	1	10	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	3	0	0	1	0
6	0.1.8.3.2.1.1	Herpetosiphon	2	10	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	3	0	0	1	0
7	0.1.8.3.2.1.1.1	Herpetosiphon_geysericola	0	7	0	0	0	1	0	0	0	0	0	2	0	2	1	0	0	0	0	0	0	0	1	0
7	0.1.8.3.2.1.1.2	Herpetosiphon_species	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
4	0.1.8.3.3	Kallotenuales	1	437	0	0	16	34	0	19	6	12	6	12	17	11	20	3	9	2	85	143	4	14	18	6
5	0.1.8.3.3.1	Kallotenuaceae	1	437	0	0	16	34	0	19	6	12	6	12	17	11	20	3	9	2	85	143	4	14	18	6
6	0.1.8.3.3.1.1	Kallotenue	1	437	0	0	16	34	0	19	6	12	6	12	17	11	20	3	9	2	85	143	4	14	18	6
7	0.1.8.3.3.1.1.1	Kallotenue_papyrolyticum	0	437	0	0	16	34	0	19	6	12	6	12	17	11	20	3	9	2	85	143	4	14	18	6
3	0.1.8.4	Dehalococcoidia	1	13	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0
4	0.1.8.4.1	Dehalococcoidales	1	13	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0
5	0.1.8.4.1.1	Dehalococcoidaceae	1	13	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0
6	0.1.8.4.1.1.1	Dehalococcoides	1	13	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0
7	0.1.8.4.1.1.1.1	Dehalococcoides_mccartyi	0	13	0	0	0	1	0	0	0	0	1	0	0	0	8	0	1	2	0	0	0	0	0	0
3	0.1.8.5	Ktedonobacteria	2	394	4	0	21	41	0	34	3	18	0	0	8	14	21	17	27	22	21	108	13	15	4	3
4	0.1.8.5.1	Ktedonobacterales	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0
5	0.1.8.5.1.1	Ktedonobacteraceae	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0
6	0.1.8.5.1.1.1	Ktedonobacter	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0
7	0.1.8.5.1.1.1.1	bacterium_SOSP1_0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	3	0	0	0	0
4	0.1.8.5.2	Thermogemmatispeciesrales	1	388	4	0	21	41	0	34	3	18	0	0	8	14	21	17	26	22	19	105	13	15	4	3
5	0.1.8.5.2.1	Thermogemmatisporaceae	1	388	4	0	21	41	0	34	3	18	0	0	8	14	21	17	26	22	19	105	13	15	4	3
6	0.1.8.5.2.1.1	Thermogemmatispora	4	388	4	0	21	41	0	34	3	18	0	0	8	14	21	17	26	22	19	105	13	15	4	3
7	0.1.8.5.2.1.1.1	Thermogemmatispora_foliorum	0	266	0	0	17	26	0	33	3	13	0	0	0	4	16	8	21	19	8	69	10	15	1	3
7	0.1.8.5.2.1.1.2	Thermogemmatispora_onikobensis	0	13	0	0	2	5	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	3	0
7	0.1.8.5.2.1.1.3	Thermogemmatispora_species_BPP55	0	105	0	0	2	10	0	1	0	2	0	0	8	10	5	9	5	3	11	36	3	0	0	0
7	0.1.8.5.2.1.1.4	Thermogemmatispora_species_PM6	0	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.8.6	Thermoflexia	1	176	0	0	4	43	0	43	5	2	4	6	4	1	3	3	1	0	9	38	2	5	2	1
4	0.1.8.6.1	Thermoflexales	1	176	0	0	4	43	0	43	5	2	4	6	4	1	3	3	1	0	9	38	2	5	2	1
5	0.1.8.6.1.1	Thermoflexaceae	1	176	0	0	4	43	0	43	5	2	4	6	4	1	3	3	1	0	9	38	2	5	2	1
6	0.1.8.6.1.1.1	Thermoflexus	1	176	0	0	4	43	0	43	5	2	4	6	4	1	3	3	1	0	9	38	2	5	2	1
7	0.1.8.6.1.1.1.1	Thermoflexus_hugenholtzii	0	176	0	0	4	43	0	43	5	2	4	6	4	1	3	3	1	0	9	38	2	5	2	1
3	0.1.8.7	Thermomicrobia	2	84	0	0	4	8	0	10	4	1	2	0	10	3	6	0	8	6	8	10	3	0	0	1
4	0.1.8.7.1	Sphaerobacterales	1	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0
5	0.1.8.7.1.1	Sphaerobacteraceae	1	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0
6	0.1.8.7.1.1.1	Sphaerobacter	1	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0
7	0.1.8.7.1.1.1.1	Sphaerobacter_thermophilus	0	8	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	4	0	0	0	0
4	0.1.8.7.2	Thermomicrobiales	1	76	0	0	4	8	0	10	4	1	2	0	10	0	6	0	8	6	7	6	3	0	0	1
5	0.1.8.7.2.1	Thermomicrobiaceae	1	76	0	0	4	8	0	10	4	1	2	0	10	0	6	0	8	6	7	6	3	0	0	1
6	0.1.8.7.2.1.1	Thermomicrobium	1	76	0	0	4	8	0	10	4	1	2	0	10	0	6	0	8	6	7	6	3	0	0	1
7	0.1.8.7.2.1.1.1	Thermomicrobium_roseum	0	76	0	0	4	8	0	10	4	1	2	0	10	0	6	0	8	6	7	6	3	0	0	1
2	0.1.9	Chrysiogenetes	1	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
3	0.1.9.1	Chrysiogenetes	1	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
4	0.1.9.1.1	Chrysiogenales	1	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
5	0.1.9.1.1.1	Chrysiogenaceae	1	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
6	0.1.9.1.1.1.1	Desulfurispeciesrillum	1	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
7	0.1.9.1.1.1.1.1	Desulfurispirillum_indicum	0	539	0	0	63	78	0	0	0	0	57	51	0	0	0	0	112	79	0	0	0	0	47	52
2	0.1.10	Cyanobacteria	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3	0.1.10.1	Gloeobacteria	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.10.1.1	Gloeobacterales	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.10.1.1.1	Gloeobacteraceae	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.10.1.1.1.1	Gloeobacter	1	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.10.1.1.1.1.1	Gloeobacter_violaceus	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.11	Deferribacteres	1	34019	2	0	2087	2004	0	622	455	125	407	423	350	768	1571	1647	3633	1134	7279	6968	225	336	3368	615
3	0.1.11.1	Deferribacteres	1	34019	2	0	2087	2004	0	622	455	125	407	423	350	768	1571	1647	3633	1134	7279	6968	225	336	3368	615
4	0.1.11.1.1	Deferribacterales	1	34019	2	0	2087	2004	0	622	455	125	407	423	350	768	1571	1647	3633	1134	7279	6968	225	336	3368	615
5	0.1.11.1.1.1	Deferribacteraceae	1	34019	2	0	2087	2004	0	622	455	125	407	423	350	768	1571	1647	3633	1134	7279	6968	225	336	3368	615
6	0.1.11.1.1.1.1	Mucispeciesrillum	2	34019	2	0	2087	2004	0	622	455	125	407	423	350	768	1571	1647	3633	1134	7279	6968	225	336	3368	615
7	0.1.11.1.1.1.1.1	Mucispirillum_schaedleri	0	31410	2	0	1922	1876	0	584	420	116	373	378	313	698	1456	1521	3324	1044	6802	6381	202	308	3124	566
7	0.1.11.1.1.1.1.2	Mucispirillum_species_69	0	2609	0	0	165	128	0	38	35	9	34	45	37	70	115	126	309	90	477	587	23	28	244	49
2	0.1.12	Deinococcus_Thermus	1	21807	21426	224	6	32	0	3	8	2	6	0	7	9	7	0	9	10	25	18	2	2	2	9
3	0.1.12.1	Deinococci	2	21807	21426	224	6	32	0	3	8	2	6	0	7	9	7	0	9	10	25	18	2	2	2	9
4	0.1.12.1.1	Deinococcales	1	21722	21426	224	5	27	0	3	6	0	0	0	4	0	3	0	0	0	6	5	2	0	2	9
5	0.1.12.1.1.1	Deinococcaceae	1	21722	21426	224	5	27	0	3	6	0	0	0	4	0	3	0	0	0	6	5	2	0	2	9
6	0.1.12.1.1.1.1	Deinococcus	8	21722	21426	224	5	27	0	3	6	0	0	0	4	0	3	0	0	0	6	5	2	0	2	9
7	0.1.12.1.1.1.1.1	Deinococcus_aetherius	0	10	0	0	0	5	0	1	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
7	0.1.12.1.1.1.1.2	Deinococcus_hopiensis	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.1.1.1.3	Deinococcus_murrayi	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
7	0.1.12.1.1.1.1.4	Deinococcus_papagonensis	0	23	0	0	0	14	0	2	0	0	0	0	0	0	2	0	0	0	0	5	0	0	0	0
7	0.1.12.1.1.1.1.5	Deinococcus_radiodurans	0	21667	21424	224	5	2	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	2	6
7	0.1.12.1.1.1.1.6	Deinococcus_species_DaeR_4	0	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.1.1.1.7	Deinococcus_species_TDMA_21	0	9	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
7	0.1.12.1.1.1.1.8	Deinococcus_yavapaiensis	0	4	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
4	0.1.12.1.2	Thermales	1	85	0	0	1	5	0	0	2	2	6	0	3	9	4	0	9	10	19	13	0	2	0	0
5	0.1.12.1.2.1	Thermaceae	4	85	0	0	1	5	0	0	2	2	6	0	3	9	4	0	9	10	19	13	0	2	0	0
6	0.1.12.1.2.1.1	Marinithermus	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
7	0.1.12.1.2.1.1.1	Marinithermus_hydrothermalis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
6	0.1.12.1.2.1.2	Meiothermus	2	10	0	0	0	0	0	0	0	0	3	0	0	5	2	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.2.1	Meiothermus_species_S2_bf_R2A_7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.2.2	Meiothermus_species_enrichment_culture_clone_phylotype_P21	0	8	0	0	0	0	0	0	0	0	3	0	0	5	0	0	0	0	0	0	0	0	0	0
6	0.1.12.1.2.1.3	Oceanithermus	2	9	0	0	0	2	0	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.3.1	Oceanithermus_desulfurans	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.3.2	Oceanithermus_profundus	0	7	0	0	0	0	0	0	2	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0
6	0.1.12.1.2.1.4	Thermus	8	64	0	0	1	3	0	0	0	2	1	0	2	4	0	0	7	10	19	13	0	2	0	0
7	0.1.12.1.2.1.4.1	Thermus_composti	0	3	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.4.2	Thermus_kawarayensis	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
7	0.1.12.1.2.1.4.3	Thermus_scotoductus	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.4.4	Thermus_species_AA_04	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
7	0.1.12.1.2.1.4.5	Thermus_species_IC_236	0	33	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	10	15	0	0	0	0	0
7	0.1.12.1.2.1.4.6	Thermus_species_NWH60	0	5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	2	0	0	0	0
7	0.1.12.1.2.1.4.7	Thermus_species_SRI_248	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
7	0.1.12.1.2.1.4.8	Thermus_thermophilus	0	15	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	3	9	0	0	0	0
2	0.1.13	Elusimicrobia	1	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
3	0.1.13.1	Elusimicrobia	1	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
4	0.1.13.1.1	Elusimicrobiales	1	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
5	0.1.13.1.1.1	Elusimicrobiaceae	1	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
6	0.1.13.1.1.1.1	Elusimicrobium	1	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
7	0.1.13.1.1.1.1.1	Elusimicrobium_minutum	0	7	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	2	0	2	0
2	0.1.14	Fibrobacteres	1	39	0	0	0	5	0	2	5	0	1	0	0	3	0	7	0	1	5	3	3	1	0	3
3	0.1.14.1	Fibrobacteria	1	39	0	0	0	5	0	2	5	0	1	0	0	3	0	7	0	1	5	3	3	1	0	3
4	0.1.14.1.1	Fibrobacterales	1	39	0	0	0	5	0	2	5	0	1	0	0	3	0	7	0	1	5	3	3	1	0	3
5	0.1.14.1.1.1	Fibrobacteraceae	1	39	0	0	0	5	0	2	5	0	1	0	0	3	0	7	0	1	5	3	3	1	0	3
6	0.1.14.1.1.1.1	Fibrobacter	2	39	0	0	0	5	0	2	5	0	1	0	0	3	0	7	0	1	5	3	3	1	0	3
7	0.1.14.1.1.1.1.1	Fibrobacter_intestinalis	0	20	0	0	0	5	0	0	1	0	0	0	0	3	0	7	0	0	0	3	0	1	0	0
7	0.1.14.1.1.1.1.2	Fibrobacter_succinogenes	0	19	0	0	0	0	0	2	4	0	1	0	0	0	0	0	0	1	5	0	3	0	0	3
2	0.1.15	Firmicutes	6	2793559	411095	517211	82214	135740	49	133892	76072	61450	64621	77167	100292	142521	74012	85949	64928	65463	128690	189253	106208	109382	75102	92248
3	0.1.15.1	Bacilli	2	1031378	366427	496825	4852	3697	2	3810	7322	6137	9923	9297	9257	10780	6396	7096	6852	8159	7128	6666	25068	21129	5740	8815
4	0.1.15.1.1	Bacillales	9	450326	173587	263037	325	477	0	580	691	344	364	605	818	1171	681	511	480	459	1425	2933	544	619	383	292
5	0.1.15.1.1.1	Alicyclobacillaceae	2	3681	0	0	12	38	0	45	24	33	69	110	54	92	70	108	49	75	771	2043	7	18	41	22
6	0.1.15.1.1.1.1	Alicyclobacillus	4	34	0	0	0	2	0	2	5	0	2	0	1	0	0	0	0	0	13	1	1	4	1	2
7	0.1.15.1.1.1.1.1	Alicyclobacillus_acidocaldarius	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
7	0.1.15.1.1.1.1.2	Alicyclobacillus_contaminans	0	13	0	0	0	0	0	2	5	0	2	0	0	0	0	0	0	0	0	0	1	2	1	0
7	0.1.15.1.1.1.1.3	Alicyclobacillus_cycloheptanicus	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0
7	0.1.15.1.1.1.1.4	Alicyclobacillus_species_enrichment_culture_clone_MRT18_18	0	11	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0	2
6	0.1.15.1.1.1.2	Kyrpidia	1	3647	0	0	12	36	0	43	19	33	67	110	53	92	70	108	49	75	758	2042	6	14	40	20
7	0.1.15.1.1.1.2.1	Kyrpidia_tusciae	0	3647	0	0	12	36	0	43	19	33	67	110	53	92	70	108	49	75	758	2042	6	14	40	20
5	0.1.15.1.1.2	Bacillaceae	17	74183	43340	23907	272	392	0	379	299	94	206	234	596	1005	195	179	339	239	598	770	301	375	267	196
6	0.1.15.1.1.2.1	Alteribacillus	1	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.15.1.1.2.1.1	Alteribacillus_bidgolensis	0	5	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.15.1.1.2.2	Amphibacillus	1	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.15.1.1.2.2.1	Amphibacillus_species_SL117	0	5	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.15.1.1.2.3	Anoxybacillus	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
