taxlevel	rankID	taxon	daughterlevels	total	ADenoma12	Ademona1	Adenoma10	Adenoma11	Adenoma13	Adenoma14	Adenoma15	Adenoma16	Adenoma17	Adenoma18	Adenoma19	Adenoma2	Adenoma20	Adenoma21	Adenoma22	Adenoma23	Adenoma24	Adenoma25	Adenoma26	Adenoma27	Adenoma28	Adenoma29	Adenoma3	Adenoma30	Adenoma4	Adenoma5	Adenoma6	Adenoma7	Adenoma8	Adenoma9	Cancer1	Cancer10	Cancer11	Cancer12	Cancer13	Cancer14	Cancer15	Cancer16	Cancer17	Cancer18	Cancer19	Cancer2	Cancer20	Cancer21	Cancer22	Cancer23	Cancer24	Cancer25	Cancer26	Cancer27	Cancer28	Cancer29	Cancer3	Cancer30	Cancer4	Cancer5	Cancer6	Cancer7	Cancer8	Cancer9	Healthy1	Healthy10	Healthy11	Healthy12	Healthy13	Healthy14	Healthy15	Healthy16	Healthy17	Healthy18	Healthy19	Healthy2	Healthy20	Healthy21	Healthy22	Healthy23	Healthy24	Healthy25	Healthy26	Healthy27	Healthy28	Healthy29	Healthy3	Healthy30	Healthy4	Healthy5	Healthy6	Healthy7	Healthy8	Healthy9	mock1	mock2
5	0.1.2.3.1.2	Flavobacteriaceae	1	228497	5	19262	6	12	32349	50	26	5	4	4	7	24	6	4	1119	6607	6	8981	20307	8	6673	5	18	2	26	2443	14	3597	30	8812	14	4	23	6	8	1483	18077	11	4	7152	39	20755	11	5724	8	117	1549	9	1	4	32	0	6	4924	6109	4	15177	21	5	1785	4	5	2	4	2	2	4282	3	6102	9327	1	10	6	15	52	3774	774	22	7	3	2	10518	6	2	11	6	9	40	24	5	1	2
6	0.1.2.3.1.2.1	Bergeyella	1	228497	5	19262	6	12	32349	50	26	5	4	4	7	24	6	4	1119	6607	6	8981	20307	8	6673	5	18	2	26	2443	14	3597	30	8812	14	4	23	6	8	1483	18077	11	4	7152	39	20755	11	5724	8	117	1549	9	1	4	32	0	6	4924	6109	4	15177	21	5	1785	4	5	2	4	2	2	4282	3	6102	9327	1	10	6	15	52	3774	774	22	7	3	2	10518	6	2	11	6	9	40	24	5	1	2
7	0.1.2.3.1.2.1.1	Bergeyella_species_oral_clone_AK152	0	228497	5	19262	6	12	32349	50	26	5	4	4	7	24	6	4	1119	6607	6	8981	20307	8	6673	5	18	2	26	2443	14	3597	30	8812	14	4	23	6	8	1483	18077	11	4	7152	39	20755	11	5724	8	117	1549	9	1	4	32	0	6	4924	6109	4	15177	21	5	1785	4	5	2	4	2	2	4282	3	6102	9327	1	10	6	15	52	3774	774	22	7	3	2	10518	6	2	11	6	9	40	24	5	1	2
3	0.1.2.4	Sphingobacteriia	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4	0.1.2.4.1	Sphingobacteriales	1	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.2.4.1.1	Sphingobacteriaceae	2	153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.4.1.1.1	Olivibacter	1	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.4.1.1.1.1	Olivibacter_terrae	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.2.4.1.1.2	Pedobacter	1	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.2.4.1.1.2.1	Pedobacter_species_MaI11_5	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.3	Deinococcus_Thermus	1	16929	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1715	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
3	0.1.3.1	Deinococci	2	16929	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1715	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
4	0.1.3.1.1	Deinococcales	1	16909	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1695	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
5	0.1.3.1.1.1	Deinococcaceae	1	16909	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1695	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
6	0.1.3.1.1.1.1	Deinococcus	1	16909	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1695	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
7	0.1.3.1.1.1.1.1	Deinococcus_radiodurans	0	16909	29	57	0	31	238	6	3	0	0	544	2	0	0	2	2	22	0	91	2	0	0	0	0	351	0	0	249	0	9	0	237	4	120	5	597	1	0	3	0	56	1	254	1	0	57	31	0	1695	5	0	1	3	0	123	0	0	26	2	0	0	0	0	0	388	2	3	1	1	5	0	1595	3	1	4	20	2	803	3908	3	2	2	9	0	6	1	12	2	1284	1	0	1216	2775
4	0.1.3.1.2	Thermales	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.3.1.2.1	Thermaceae	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.3.1.2.1.1	Thermus	1	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.3.1.2.1.1.1	Thermus_thermophilus	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0.1.4	Firmicutes	5	6387989	36145	73064	53422	78926	79632	155104	77983	46772	51188	42202	55881	92139	47278	8121	60459	71746	42897	54855	52752	68739	50204	92081	79550	48559	98086	27269	77532	109576	61578	57412	68073	84260	73125	64161	113133	58588	50623	94468	62111	43866	16152	85575	101827	24036	94512	107240	80038	46957	29132	71029	29662	83809	58337	77483	94351	73940	55887	83235	47228	20275	75297	33631	42517	107020	144943	57361	137013	34090	60187	47447	130034	108278	87206	53523	57260	33407	40449	88715	55520	85888	69526	218843	82721	77781	47495	121973	42970	76209	78167	47564	64714	35975
3	0.1.4.1	Bacilli	2	107778	900	421	57	114	511	36	254	2028	139	1041	70	540	14	152	284	79	444	492	422	936	154	124	53	935	88	148	605	439	156	968	1397	214	454	473	2141	319	635	436	6	288	1233	1590	64	164	231	418	264	3688	371	287	14	335	522	1157	166	43	380	284	105	154	19	159	4176	1610	119	65	936	127	153	320	4997	4090	996	75	1153	168	2902	6943	91	1162	554	1318	765	407	113	153	22	3278	8	379	28805	11278
4	0.1.4.1.1	Bacillales	4	66707	338	168	0	30	382	14	88	175	15	731	30	524	3	16	248	69	440	465	417	825	149	5	5	668	33	130	365	22	122	916	1254	188	351	303	1787	309	622	18	0	170	50	1447	5	106	84	148	152	2772	35	37	8	7	474	875	128	36	325	85	17	52	11	157	11	1184	25	8	886	2	80	300	4093	142	987	15	78	165	2126	5043	30	1129	523	1289	422	360	52	123	3	2399	0	291	18047	7488
5	0.1.4.1.1.1	Bacillaceae	4	2072	295	79	0	1	35	0	69	155	13	32	13	8	0	0	6	41	0	56	19	46	4	5	0	0	22	9	17	15	0	5	18	104	84	0	5	5	6	9	0	4	30	77	3	10	3	96	21	5	17	0	0	4	1	14	24	35	3	0	14	22	8	17	5	22	7	0	26	1	21	19	16	3	1	8	48	21	1	9	13	4	4	20	17	22	0	85	0	36	0	10	15	54
6	0.1.4.1.1.1.1	Bacillus	2	356	0	0	0	0	26	0	0	0	3	0	13	2	0	0	0	0	0	49	18	2	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	17	15	1	0	0	0	13	0	0	0	0	0	10	0	0	0	69	0	0	0	0	15	54
7	0.1.4.1.1.1.1.1	Bacillus_species_MSP06G	0	287	0	0	0	0	26	0	0	0	3	0	13	2	0	0	0	0	0	49	18	2	1	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	10	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	14	0	0	0	0	0	0	0	17	15	1	0	0	0	13	0	0	0	0	0	10	0	0	0	69	0	0	0	0	0	0
7	0.1.4.1.1.1.1.2	Bacillus_species_TX3	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	54
6	0.1.4.1.1.1.2	Caldalkalibacillus	1	100	0	79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.4.1.1.1.2.1	Caldalkalibacillus_uzonensis	0	100	0	79	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
6	0.1.4.1.1.1.3	Fictibacillus	1	1558	295	0	0	1	8	0	69	155	10	32	0	6	0	0	6	41	0	0	1	16	3	5	0	0	22	1	17	15	0	5	18	104	84	0	5	5	0	9	0	0	30	56	3	0	3	96	21	5	17	0	0	4	1	14	12	35	3	0	14	22	8	3	5	22	7	0	23	1	17	2	1	2	1	8	48	0	1	8	13	4	4	10	17	22	0	16	0	36	0	10	0	0
7	0.1.4.1.1.1.3.1	Fictibacillus_gelatini	0	1558	295	0	0	1	8	0	69	155	10	32	0	6	0	0	6	41	0	0	1	16	3	5	0	0	22	1	17	15	0	5	18	104	84	0	5	5	0	9	0	0	30	56	3	0	3	96	21	5	17	0	0	4	1	14	12	35	3	0	14	22	8	3	5	22	7	0	23	1	17	2	1	2	1	8	48	0	1	8	13	4	4	10	17	22	0	16	0	36	0	10	0	0
6	0.1.4.1.1.1.4	Hydrogenibacillus	1	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.4.1.1.1.4.1	Hydrogenibacillus_schlegelii	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.1.4.1.1.2	Listeriaceae	1	11202	0	21	0	2	69	6	4	0	0	222	1	0	0	0	0	2	2	33	0	8	0	0	0	227	0	0	105	2	3	2	107	3	67	0	212	1	1	0	0	33	2	140	0	0	22	15	3	607	2	0	2	1	1	60	4	0	27	10	1	0	0	1	0	125	0	3	0	1	14	0	732	0	0	0	8	4	523	1315	5	0	1	1	0	4	1	7	1	612	0	0	4153	1661
6	0.1.4.1.1.2.1	Listeria	1	11202	0	21	0	2	69	6	4	0	0	222	1	0	0	0	0	2	2	33	0	8	0	0	0	227	0	0	105	2	3	2	107	3	67	0	212	1	1	0	0	33	2	140	0	0	22	15	3	607	2	0	2	1	1	60	4	0	27	10	1	0	0	1	0	125	0	3	0	1	14	0	732	0	0	0	8	4	523	1315	5	0	1	1	0	4	1	7	1	612	0	0	4153	1661
7	0.1.4.1.1.2.1.1	Listeria_monocytogenes	0	11202	0	21	0	2	69	6	4	0	0	222	1	0	0	0	0	2	2	33	0	8	0	0	0	227	0	0	105	2	3	2	107	3	67	0	212	1	1	0	0	33	2	140	0	0	22	15	3	607	2	0	2	1	1	60	4	0	27	10	1	0	0	1	0	125	0	3	0	1	14	0	732	0	0	0	8	4	523	1315	5	0	1	1	0	4	1	7	1	612	0	0	4153	1661
5	0.1.4.1.1.3	Paenibacillaceae	1	17779	1	0	0	0	6	2	0	0	0	0	15	516	0	1	238	0	437	292	398	771	145	0	4	1	1	121	0	1	109	905	805	77	4	284	689	294	615	0	0	1	0	909	0	96	0	2	115	7	7	0	1	0	463	632	100	0	255	1	0	27	1	137	0	648	17	2	845	0	29	279	984	129	986	6	11	138	259	1	1	1124	513	1263	404	319	50	1	2	0	0	281	0	1
6	0.1.4.1.1.3.1	Paenibacillus	1	17779	1	0	0	0	6	2	0	0	0	0	15	516	0	1	238	0	437	292	398	771	145	0	4	1	1	121	0	1	109	905	805	77	4	284	689	294	615	0	0	1	0	909	0	96	0	2	115	7	7	0	1	0	463	632	100	0	255	1	0	27	1	137	0	648	17	2	845	0	29	279	984	129	986	6	11	138	259	1	1	1124	513	1263	404	319	50	1	2	0	0	281	0	1
7	0.1.4.1.1.3.1.1	Paenibacillus_species_R_6507	0	17779	1	0	0	0	6	2	0	0	0	0	15	516	0	1	238	0	437	292	398	771	145	0	4	1	1	121	0	1	109	905	805	77	4	284	689	294	615	0	0	1	0	909	0	96	0	2	115	7	7	0	1	0	463	632	100	0	255	1	0	27	1	137	0	648	17	2	845	0	29	279	984	129	986	6	11	138	259	1	1	1124	513	1263	404	319	50	1	2	0	0	281	0	1
5	0.1.4.1.1.4	Staphylococcaceae	2	35654	42	68	0	27	272	6	15	20	2	477	1	0	3	15	4	26	1	84	0	0	0	0	1	440	10	0	243	4	10	4	324	4	196	19	881	9	0	9	0	132	18	321	2	0	59	35	13	2153	9	37	5	2	9	169	0	1	40	74	2	3	2	2	6	389	1	3	15	0	16	2	2361	10	0	1	11	2	1343	3718	11	1	5	5	1	15	1	30	0	1751	0	0	13879	5772
6	0.1.4.1.1.4.1	Jeotgalicoccus	1	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	27
7	0.1.4.1.1.4.1.1	Jeotgalicoccus_halotolerans	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	27
6	0.1.4.1.1.4.2	Staphylococcus	1	35624	42	68	0	27	272	6	15	20	2	477	1	0	3	15	4	26	1	84	0	0	0	0	1	440	10	0	243	4	10	4	324	4	196	19	881	9	0	9	0	132	18	321	2	0	59	35	13	2153	9	37	5	2	9	169	0	1	40	74	2	3	2	2	6	389	1	3	15	0	16	2	2361	10	0	1	11	2	1343	3718	11	1	5	5	1	15	1	30	0	1751	0	0	13876	5745
7	0.1.4.1.1.4.2.1	Staphylococcus_caprae	0	35624	42	68	0	27	272	6	15	20	2	477	1	0	3	15	4	26	1	84	0	0	0	0	1	440	10	0	243	4	10	4	324	4	196	19	881	9	0	9	0	132	18	321	2	0	59	35	13	2153	9	37	5	2	9	169	0	1	40	74	2	3	2	2	6	389	1	3	15	0	16	2	2361	10	0	1	11	2	1343	3718	11	1	5	5	1	15	1	30	0	1751	0	0	13876	5745
4	0.1.4.1.2	Lactobacillales	4	41071	562	253	57	84	129	22	166	1853	124	310	40	16	11	136	36	10	4	27	5	111	5	119	48	267	55	18	240	417	34	52	143	26	103	170	354	10	13	418	6	118	1183	143	59	58	147	270	112	916	336	250	6	328	48	282	38	7	55	199	88	102	8	2	4165	426	94	57	50	125	73	20	904	3948	9	60	1075	3	776	1900	61	33	31	29	343	47	61	30	19	879	8	88	10758	3790
5	0.1.4.1.2.1	Aerococcaceae	1	130	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	5	0	0	0	0	0	6	2	26
6	0.1.4.1.2.1.1	Abiotrophia	1	130	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	5	0	0	0	0	0	6	2	26
7	0.1.4.1.2.1.1.1	Abiotrophia_species_oral_clone_P4PA_155_P1	0	130	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	6	6	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4	1	0	0	0	5	0	0	0	0	0	6	2	26
5	0.1.4.1.2.2	Enterococcaceae	1	16266	207	112	4	13	50	8	73	322	1	138	24	3	0	5	1	8	3	15	0	45	1	28	1	176	13	16	139	374	0	30	82	5	45	9	193	0	5	99	0	91	280	71	53	38	46	164	14	498	127	0	1	97	1	36	5	0	19	0	39	6	4	0	130	230	3	10	25	114	19	8	375	3920	5	0	17	0	374	1087	16	21	20	21	80	30	15	10	12	517	1	22	3704	1642
6	0.1.4.1.2.2.1	Enterococcus	1	16266	207	112	4	13	50	8	73	322	1	138	24	3	0	5	1	8	3	15	0	45	1	28	1	176	13	16	139	374	0	30	82	5	45	9	193	0	5	99	0	91	280	71	53	38	46	164	14	498	127	0	1	97	1	36	5	0	19	0	39	6	4	0	130	230	3	10	25	114	19	8	375	3920	5	0	17	0	374	1087	16	21	20	21	80	30	15	10	12	517	1	22	3704	1642
7	0.1.4.1.2.2.1.1	Enterococcus_faecalis	0	16266	207	112	4	13	50	8	73	322	1	138	24	3	0	5	1	8	3	15	0	45	1	28	1	176	13	16	139	374	0	30	82	5	45	9	193	0	5	99	0	91	280	71	53	38	46	164	14	498	127	0	1	97	1	36	5	0	19	0	39	6	4	0	130	230	3	10	25	114	19	8	375	3920	5	0	17	0	374	1087	16	21	20	21	80	30	15	10	12	517	1	22	3704	1642
5	0.1.4.1.2.3	Lactobacillaceae	1	22895	278	141	53	46	51	8	41	1509	114	169	14	3	11	131	32	2	1	12	3	66	4	91	47	91	42	2	82	43	33	22	61	21	58	154	155	9	7	315	2	27	73	72	0	20	101	97	92	349	207	246	5	86	47	235	33	7	28	199	49	92	4	2	4035	142	91	32	25	7	54	12	360	28	4	54	1016	3	402	810	39	11	3	8	121	12	23	14	7	362	7	46	7050	2122
6	0.1.4.1.2.3.1	Lactobacillus	8	22895	278	141	53	46	51	8	41	1509	114	169	14	3	11	131	32	2	1	12	3	66	4	91	47	91	42	2	82	43	33	22	61	21	58	154	155	9	7	315	2	27	73	72	0	20	101	97	92	349	207	246	5	86	47	235	33	7	28	199	49	92	4	2	4035	142	91	32	25	7	54	12	360	28	4	54	1016	3	402	810	39	11	3	8	121	12	23	14	7	362	7	46	7050	2122
7	0.1.4.1.2.3.1.1	Lactobacillus_acidophilus	0	164	0	0	0	26	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	11	0	0	0	0	2	0	0	0	44	0	0	0	0	0	0	15	0	3	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0
7	0.1.4.1.2.3.1.2	Lactobacillus_delbrueckii	0	508	0	0	0	1	0	0	1	0	73	0	0	0	0	0	0	1	0	0	1	0	0	86	0	0	0	0	11	0	0	0	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	141	0	12	0	0	0	0	0	0	13	2	0	72	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7	0.1.4.1.2.3.1.3	Lactobacillus_fermentum	0	1050	5	4	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	26	0	0	33	0	0	0	2	0	0	0	36	7	0	0	0	0	0	0	0	0	0	4	0	0	0	0	29	0	0	0	0	0	0	0	0	0	850	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
7	0.1.4.1.2.3.1.4	Lactobacillus_gasseri	0	8323	132	22	4	7	44	8	14	0	0	145	0	0	2	5	2	0	0	10	0	32	2	2	18	81	8	0	42	12	12	9	60	0	35	36	134	0	6	26	1	27	38	64	0	3	81	8	3	316	80	216	0	36	19	46	7	0	9	100	12	34	0	0	310	107	1	2	7	5	29	0	329	6	2	29	6	3	357	786	2	1	1	4	9	1	7	14	3	314	2	0	2954	1022
7	0.1.4.1.2.3.1.5	Lactobacillus_mucosae	0	3598	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	2	3575	2	4	0	1	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
7	0.1.4.1.2.3.1.6	Lactobacillus_murinus	0	6928	141	111	40	12	1	0	17	2	28	10	3	1	9	126	12	0	0	0	2	12	2	0	29	7	31	0	21	31	10	6	1	18	22	8	20	9	1	205	0	0	2	3	0	4	3	9	83	22	26	20	4	22	28	15	26	5	1	92	37	51	2	0	6	17	42	5	6	2	13	0	9	6	0	25	4	0	45	15	7	0	2	4	39	6	10	0	2	48	4	12	4096	1100
7	0.1.4.1.2.3.1.7	Lactobacillus_sakei	0	2310	0	4	9	0	6	0	5	1507	3	14	1	0	0	0	18	1	1	2	0	0	0	0	0	3	3	0	8	0	0	7	0	3	0	3	1	0	0	14	1	0	0	5	0	13	0	80	3	11	65	3	1	26	0	167	0	1	18	7	0	3	2	0	3	10	1	25	11	0	12	0	22	3	0	0	84	0	0	4	30	5	0	0	73	0	6	0	2	0	0	0	0	0
